Language,Count
Amharic,21
Arabic,6486
Armenian,2
Bengali,14
Bulgarian,53
Chinese,2295
Czech,523
Danish,1254
Dutch,2421
English,1749901
Estonian,2228
Finnish,1898
French,9465
Georgian,1
German,2610
Greek,214
Gujarati,1
Haitian,10015
Hebrew,580
Hindi,795
Hungarian,489
Icelandic,353
Indonesian,7082
Italian,3860
Japanese,4912
Khmer,1
Korean,1308
Latvian,294
Lithuanian,422
Malayalam,2
Marathi,40
Nepali,80
Norwegian,1125
Oriya,42
Panjabi,46
Persian,1152
Polish,2308
Portuguese,9366
Romanian,995
Russian,2817
Serbian,14
Slovenian,204
Spanish,49636
Swedish,1314
Tagalog,7701
Tamil,44
Telugu,46
Thai,1648
Turkish,4222
Ukrainian,93
Undetected,183118
Urdu,933
Vietnamese,209
Welsh,1065
